rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
217,frame_0310.jpg,124.0,0.3352,0.4384,0.3333,0.08,5,3,False,False
218,frame_0385.jpg,154.0,0.3281,0.4429,0.2222,0.2,9,2,False,False
219,frame_0171.jpg,68.4,0.3273,0.412,0.1111,0.44,5,1,False,False
220,frame_0197.jpg,78.8,0.3267,0.4268,0.1111,0.4,1,1,False,False
221,frame_0205.jpg,82.0,0.326,0.2973,0.1111,0.72,2,1,False,False
222,frame_0118.jpg,47.2,0.3238,0.3382,0.2222,0.44,5,2,False,False
223,frame_0213.jpg,85.2,0.3234,0.3562,0.1111,0.56,3,1,False,False
224,frame_0019.jpg,7.6,0.3232,0.2464,0.0,1.0,2,0,False,False
225,frame_0088.jpg,35.2,0.3221,0.3348,0.2222,0.44,4,2,False,False
226,frame_0203.jpg,81.2,0.3219,0.3211,0.1111,0.64,4,1,False,False
227,frame_0211.jpg,84.4,0.3202,0.3178,0.1111,0.64,3,1,False,False
228,frame_0082.jpg,32.8,0.3176,0.2966,0.1111,0.68,5,1,False,False
229,frame_0091.jpg,36.4,0.3166,0.4385,0.1111,0.32,3,1,False,False
230,frame_0228.jpg,91.2,0.3148,0.4803,0.2222,0.04,4,2,False,False
231,frame_0179.jpg,71.6,0.3113,0.3746,0.3333,0.12,6,3,False,False
232,frame_0268.jpg,107.2,0.3078,0.4502,0.2222,0.08,5,2,False,False
233,frame_0022.jpg,8.8,0.3038,0.2075,0.0,1.0,4,0,False,False
234,frame_0308.jpg,123.2,0.2953,0.3933,0.2222,0.16,6,2,False,False
235,frame_0226.jpg,90.4,0.2932,0.4371,0.2222,0.04,5,2,False,False
236,frame_0267.jpg,106.8,0.2902,0.3991,0.2222,0.12,6,2,False,False
237,frame_0200.jpg,80.0,0.2859,0.2972,0.1111,0.52,2,1,False,False
238,frame_0102.jpg,40.8,0.2848,0.3217,0.3333,0.12,5,3,False,False
239,frame_0201.jpg,80.4,0.2835,0.2764,0.1111,0.56,3,1,False,False
240,frame_0217.jpg,86.8,0.278,0.3293,0.1111,0.4,2,1,False,False
241,frame_0111.jpg,44.4,0.2763,0.4219,0.1111,0.16,4,1,False,False
242,frame_0110.jpg,44.0,0.2732,0.3651,0.2222,0.12,5,2,False,False
243,frame_0181.jpg,72.4,0.2713,0.3933,0.2222,0.04,6,2,False,False
244,frame_0092.jpg,36.8,0.2666,0.3545,0.1111,0.28,4,1,False,False
245,frame_0215.jpg,86.0,0.2637,0.2687,0.1111,0.48,4,1,False,False
246,frame_0196.jpg,78.4,0.2627,0.3147,0.1111,0.36,3,1,False,False
247,frame_0314.jpg,125.6,0.2562,0.347,0.2222,0.08,6,2,False,False
248,frame_0311.jpg,124.4,0.2512,0.353,0.2222,0.04,4,2,False,False
249,frame_0190.jpg,76.0,0.2459,0.3105,0.2222,0.12,4,2,False,False
250,frame_0324.jpg,129.6,0.2441,0.3229,0.2222,0.08,6,2,False,False
251,frame_0221.jpg,88.4,0.2348,0.2402,0.2222,0.24,5,2,False,False
252,frame_0100.jpg,40.0,0.2274,0.3054,0.2222,0.04,5,2,False,False
253,frame_0101.jpg,40.4,0.2259,0.3532,0.1111,0.08,5,1,False,False
254,frame_0323.jpg,129.2,0.2181,0.3216,0.1111,0.12,7,1,False,False
255,frame_0393.jpg,157.2,0.1968,0.3775,0.0,0.04,6,0,False,False
256,frame_0191.jpg,76.4,0.1814,0.2321,0.1111,0.16,5,1,False,False
